,Location,Longitude,Latitude,Suburb,States,Drive.Through,Appointment
267,Milperra Histopath Pathology Drive-through Clinic,150.9894189,-33.9394894,Milperra,New South Wales,Yes,No
268,Milton Ulladulla Hospital,150.438946,-35.3172481,Milton,New South Wales,No,Yes
269,Minchinbury Histopath Pathology Drive-through Clinic,150.828389,-33.78089,Minchinbury,New South Wales,Yes,No
270,Minto Clinical Labs Pathology Drive-through Clinic,150.8440009,-34.02856456,Minto,New South Wales,Yes,No
271,Miranda Laverty Pathology Clinic,151.112391,-34.037774,Miranda,New South Wales,No,No
272,Miranda Medical Centre,151.10199,-34.033695,Miranda,New South Wales,No,Yes
273,Mittagong Respiratory Clinic,150.4430588,-34.4523287,Mittagong,New South Wales,No,Yes
274,Molong Multi-Purpose Service,148.8595381,-33.08611327,Molong,New South Wales,No,Yes
275,Mona Vale Drive-through Clinic,151.30687,-33.68671557,Mona Vale,New South Wales,Yes,No
276,Moorebank Laverty Pathology Drive-through Clinic,150.9369454,-33.92467015,Moorebank,New South Wales,Yes,No
277,Moree District Hospital,149.8399299,-29.4708974,Moree,New South Wales,No,Yes
278,Moree Respiratory Clinic,149.8297867,-29.4744629,Moree,New South Wales,No,Yes
279,Morisset Douglass Hanly Moir Pathology Drive-through Clinic,151.478856,-33.108136,Morisset,New South Wales,Yes,No
280,Moruya Hospital and Health Service,150.0704021,-35.9041303,Moruya,New South Wales,No,No
281,Mosman Douglass Hanly Moir Pathology Drive-through Clinic,151.233886,-33.825455,Mosman,New South Wales,Yes,No
282,Mount Druitt 4Cyte Pathology,150.8265921,-33.76389738,Mount Druitt,New South Wales,Yes,No
283,Mount Druitt Histopath Pathology,150.8210126,-33.76798388,Mount Druitt,New South Wales,No,No
284,Mount Pritchard Laverty Pathology Drive-through Clinic,150.9005648,-33.89782205,Mount Pritchard,New South Wales,Yes,No
285,Mt Druitt Hospital Pop-up Clinic,150.8283256,-33.76399568,Mount Druitt,New South Wales,No,No
286,Mudgee Drive-through Clinic,149.6070859,-32.57106668,Bombira,New South Wales,Yes,No
287,Mudgee Respiratory Clinic,149.5815377,-32.60344237,Mudgee,New South Wales,No,Yes
288,Mullumbimby Sullivan Nicolaides Pathology (Daley St),153.498972,-28.554741,Mullumbimby,New South Wales,No,No
289,Murrurundi Hospital Drive-through Clinic,150.8351317,-31.77032722,Murrurundi,New South Wales,Yes,Yes
290,Murwillumbah 4Cyte Pathology Drive-through Clinic  (Light and heavy vehicles),153.4055466,-28.32845299,Murwillumbah ,New South Wales,Yes,No
291,Murwillumbah Respiratory Clinic,153.3962113,-28.3290267,Murwillumbah,New South Wales,No,Yes
292,Murwillumbah Sullivan Nicolaides Pathology (King St),153.396201,-28.328828,Murwillumbah,New South Wales,No,No
293,Muswellbrook 4Cyte Pathology Drive-through Clinic,150.8956808,-32.27739195,Muswellbrook,New South Wales,Yes,No
294,Muswellbrook Hospital,150.899954,-32.264481,Muswellbrook,New South Wales,No,No
295,Nambucca Heads Sullivan Nicolaides Pathology,153.004343,-30.641593,Nambucca Heads,New South Wales,No,No
296,Nambucca Respiratory Clinic,152.9849808,-30.6598714,Nambucca Heads,New South Wales,No,Yes
297,Narellan Community Health,150.7353605,-34.04284764,Narellan,New South Wales,No,No
298,Narellan Laverty Pathology Drive-through Clinic,150.729167,-34.033625,Narellan,New South Wales,Yes,No
299,Narooma Respiratory Clinic,150.1277033,-36.2169752,Narooma,New South Wales,No,Yes
300,Narrabri District Health Service,149.7769268,-30.32542074,Narrabri,New South Wales,No,Yes
301,Narromine Health Service,148.2399462,-32.24294136,Narromine,New South Wales,No,No
302,Narromine Showground Drive-through Clinic,148.2499562,-32.25144311,Narromine,New South Wales,Yes,No
303,Nelson Bay Laverty Pathology Drive-through Clinic,152.119712,-32.737173,Nelson Bay,New South Wales,Yes,No
304,Nepean Hospital,150.712328,-33.758994,Kingswood,New South Wales,No,No
305,Newport Surf Club Clinical Labs Pathology Drive-through Clinic,151.3228995,-33.65370443,Newport,New South Wales,Yes,No
306,North Narrabeen Clinical Labs Pathology Drive-through Clinic,151.3006167,-33.70054687,Narrabeen,New South Wales,Yes,No
307,North Nowra Southern.IML Pathology Drive-through Clinic,150.57599,-34.84096669,North Nowra,New South Wales,Yes,No
308,North Ryde 4Cyte Pathology Drive-through Clinic,151.141822,-33.7988,North Ryde,New South Wales,Yes,No
309,North Ryde Laverty Pathology Drive-through Clinic,151.123538,-33.781721,North Ryde,New South Wales,Yes,No
310,Northern Beaches Hospital,151.233019,-33.751134,Frenchs Forest,New South Wales,No,No
311,Northmead Bowling Club Drive-through Clinic,150.9963695,-33.78178891,Northmead,New South Wales,Yes,No
312,Nowra Laverty Pathology Drive-through Clinic,150.5916079,-34.87496177,Nowra,New South Wales,Yes,No
313,Nowra Southern.IML Pathology Drive-through Clinic,150.599965,-34.873694,Nowra,New South Wales,Yes,No
314,Nyngan Health Service,147.202777,-31.5617136,Nyngan,New South Wales,No,Yes
315,Oatlands 4Cyte Pathology Drive-through Clinic,151.030409,-33.803187,Oatlands,New South Wales,Yes,No
316,Oberon Drive Through Multi-Purpose Service,149.8533899,-33.70535788,Oberon,New South Wales,Yes,No
317,Ocean Shores Sullivan Nicolaides Pathology,153.54599,-28.524203,Ocean Shores,New South Wales,No,No
318,Ochre Health - Boggabri Respiratory Clinic,150.054292,-30.7212293,Boggabri,New South Wales,No,Yes
319,Ochre Health - Gunnedah Respiratory Clinic,150.244934,-30.978705,Gunnedah,New South Wales,No,Yes
320,Ochre Health - Narrabri Respiratory Clinic,149.7649012,-30.3412386,Narrabri,New South Wales,No,Yes
321,Oran Park Douglas Hanly Moir Pathology Drive-through Clinic,150.7411003,-33.99812185,Oran Park,New South Wales,Yes,No
322,Orange Barratt and Smith Pathology Drive-through Clinic,149.1009622,-33.2881807,Orange,New South Wales,Yes,No
323,Orange Hospital,149.093955,-33.317291,Orange,New South Wales,No,No
324,Orange Laverty Pathology Drive-through Clinic,149.1092349,-33.27070192,Orange,New South Wales,Yes,No
325,Orange Respiratory Clinic - Bloomfield Medical Centre,149.0912789,-33.31589208,Orange,New South Wales,No,Yes
326,Pambula Hospital Drive-through Clinic,149.877934,-36.92582,Pambula,New South Wales,Yes,Yes
327,Panania Laverty Pathology Drive-through Clinic,150.9878704,-33.9539736,Panania,New South Wales,Yes,No
328,Parkes Hospital Drive-through Clinic,148.1702962,-33.15310819,Parkes,New South Wales,Yes,Yes
329,Parramatta Clinical Labs Pathology Drive-through Clinic,151.021491,-33.8078692,Parramatta,New South Wales,Yes,No
330,Parramatta Community Health Centre Pop-up Clinic,151.001567,-33.812249,Parramatta,New South Wales,No,No
331,Parramatta Medlab Pathology Drive-through Clinic,151.0037702,-33.8216165,Parramatta,New South Wales,Yes,No
332,Parramatta Park Walk-in Clinic,150.9947654,-33.80450442,Westmead,New South Wales,No,No
333,Peak Hill Multi-Purpose Service,148.2044185,-32.74529332,Peak Hill,New South Wales,No,Yes
334,Peakhurst Laverty Pathology Drive-through Clinic,151.0518623,-33.96856885,Peakhurst,New South Wales,Yes,No
335,Penrith Douglas Hanly Moir Pathology Drive-through Clinic,150.6878381,-33.75189156,Penrith,New South Wales,Yes,No
336,Penrith Laverty Pathology Drive-through Clinic,150.7049327,-33.75462454,Penrith,New South Wales,Yes,No
337,Penrith Medlab Pathology Walk-in Clinic,150.6960297,-33.75284227,Penrith,New South Wales,No,No
338,Penrith Respiratory Clinic,150.6729235,-33.7698966,Jamisontown,New South Wales,No,Yes
339,Perisher Resort Pop-up Clinic,148.4099058,-36.40540006,Perisher Valley,New South Wales,No,Yes
340,Picton Respiratory Clinic,150.613686,-34.16883778,Picton,New South Wales,No,Yes
341,Port Kembla Laverty Pathology Drive-through Pop-up Clinic,150.9101414,-34.49207341,Port Kembla,New South Wales,Yes,No
342,Port Macquarie Douglass Hanly Moir Pathology,152.917471,-31.438476,Post Macquarie,New South Wales,No,Yes
343,Port Macquarie Drive-through Clinic,152.8727409,-31.42712393,Port Macquarie,New South Wales,Yes,No
344,Port Macquarie Laverty Pathology Drive-through Clinic,152.899104,-31.433117,Port Macquarie,New South Wales,Yes,No
345,Prestons Drive-through and Walk-in Clinic,150.874204,-33.951824,Prestons,New South Wales,Yes,No
346,Prince of Wales Hospital,151.239173,-33.919047,Randwick,New South Wales,No,No
347,Quakers Hill Drive-through Clinic,150.881433,-33.736553,Quakers Hill,New South Wales,Yes,No
348,Quakers Hill Histopath Pathology Drive-through Clinic,150.8752647,-33.72669223,Quakers Hill NSW,New South Wales,Yes,No
349,Queanbeyan Capital Pathology,149.2325454,-35.34974572,Queanbeyan,New South Wales,No,Yes
350,Queanbeyan East Histopath Pathology Drive-through Clinic,149.2419341,-35.34521435,Queanbeyan East,New South Wales,Yes,No
351,Queanbeyan Hospital,149.2324285,-35.3474926,Queanbeyan,New South Wales,No,No
352,Queanbeyan Laverty Pathology Drive-through Clinic,149.2318866,-35.35626325,Queanbeyan,New South Wales,Yes,No
353,Quirindi Testing Clinic,150.676714,-31.500098,Quirindi,New South Wales,No,Yes
354,Randwick Laverty Pathology,151.240763,-33.91658,Randwick,New South Wales,No,No
355,Raymond Terrace 4Cyte Pathology Drive-through Clinic,151.7411109,-32.66118573, Raymond Terrace,New South Wales,Yes,No
356,Raymond Terrace Histopath Pathology Drive-through Clinic,151.7847648,-32.7609025,Raymond Terrace,New South Wales,Yes,No
357,Raymond Terrace Respiratory Clinic,151.74012,-32.764694,Raymond Terrace,New South Wales,No,Yes
358,Redfern Health Centre,151.2033416,-33.8930724,Redfern,New South Wales,No,No
359,Redfern Histopath Pathology Walk-in Clinic,151.1992065,-33.89306446,Redfern,New South Wales,No,No
360,Regatta Centre Drive-through Clinic,150.671768,-33.722099,Castlereagh,New South Wales,Yes,No
361,Richmond Histopath Pathology Drive-through Clinic,150.7467727,-33.61441974,Richmond,New South Wales,Yes,No
362,Richmond Laverty Pathology Drive-through Clinic,150.750214,-33.600445,Richmond,New South Wales,Yes,No
363,Riverwood MedLab Pathology Drive-through Clinic,151.0461925,-33.94979166,Riverwood,New South Wales,Yes,No
364,Rockdale 4Cyte Pathology Drive-through Clinic,151.1381166,-33.95578003,Rockdale,New South Wales,Yes,No
365,Rose Bay Laverty Pathology Drive-through Clinic,151.2647881,-33.87117863,Rose Bay,New South Wales,Yes,No
366,Rosebery 4Cyte Pathology,151.2030658,-33.91365642,Beconsfield,New South Wales,No,No
367,Roselands Laverty Pathology Drive-through Clinic,151.0697149,-33.93584525,Roselands,New South Wales,Yes,No
368,Roseville Respiratory Clinic,151.1757788,-33.784101,Roseville,New South Wales,No,Yes
369,Rouse Hill Drive-through Clinic,150.9094153,-33.68238223,Rouse Hill,New South Wales,Yes,No
370,Royal North Shore Hospital,151.1930839,-33.82023599,St Leonards,New South Wales,No,No
371,Royal Prince Alfred Hospital,151.182484,-33.889574,Camperdown,New South Wales,No,No
372,Rozelle Laverty Pathology Drive-through Clinic,151.1571605,-33.8704043,Rozelle,New South Wales,Yes,No
373,Rushcutters Bay Park Pop-up Clinic,151.2352296,-33.87236947,Darling Point,New South Wales,No,No
374,Ryde Hospital,151.089668,-33.795502,Eastwood,New South Wales,No,No
375,Ryde Respiratory Clinic,151.1399215,-33.79514727,North Ryde,New South Wales,No,Yes
376,Rylstone Multi-Purpose Service,149.9755862,-32.80421858,Rylstone,New South Wales,No,No
377,Sanctuary Point Respiratory Clinic,150.624093,-35.105801,Sanctuary point,New South Wales,No,Yes
378,Sans Souci Histopath Pathology Drive-through and Walk-in Clinic,151.1305607,-34.00524921,Sans Souci,New South Wales,Yes,No
379,Scone Hospital Clinic,150.87611,-32.052006,Scone,New South Wales,No,Yes
380,Seven Hills Laverty Pathology,150.935592,-33.775734,Seven Hills,New South Wales,No,No
381,Shellharbour Southern.IML Pathology Drive-through Clinic,150.8581369,-34.57843735,Shellharbour,New South Wales,Yes,No
382,Shoalhaven Hospital,150.595231,-34.868364,Nowra,New South Wales,No,No
383,Singleton Heights 4Cyte Pathology Drive-through Clinic,151.1605792,-32.54859212,Singleton Heights,New South Wales,Yes,No
384,Singleton Hospital Drive-through Clinic,151.185303,-32.566687,Singleton,New South Wales,Yes,Yes
385,Smithfield Clinical Labs Pathology Drive-through and Walk-in Clinic,150.926589,-33.84400845,Smithfield,New South Wales,Yes,No
386,Smithfield Douglass Hanly Moir Drive-through and Walk-in Clinic,150.92831,-33.85820725,Smithfield,New South Wales,Yes,No
387,Smithfield Drive-through Clinic,150.9373078,-33.84457053,Smithfield,New South Wales,Yes,No
388,South Hurtsville Douglass Hanly Moir Pathology Drive-through Clinic,151.1000368,-33.97904153,Connells Point,New South Wales,Yes,No
389,South Maitland Laverty Pathology Drive-through Clinic,151.562109,-32.743436,South Maitland,New South Wales,Yes,No
390,South Tweed Heads 4Cyte Pathology Drive-through and Walk-in Clinic,153.5419477,-28.2053942,South Tweed Heads,New South Wales,Yes,No
391,South West Rocks  Community Health Centre Clinic,153.041666,-30.906154,South West Rocks,New South Wales,No,No
392,South West Rocks Laverty Pathology Walk-in Clinic,153.041709,-30.90593766,South West Rocks,New South Wales,Yes,No
393,Southern Cross University Sullivan Nicolaides Pathology Drive-through Clinic,153.2994937,-28.81949336,East Lismore,New South Wales,Yes,No
394,Speers Point 4Cyte Pathology Drive-through Clinic,151.6149791,-32.95712695,Speers Point,New South Wales,Yes,No
395,Springwood Clinical Labs Pathology Drive-through Clinic,150.5513594,-33.69493915,Springwood,New South Wales,Yes,No
396,St George Hospital,151.132783,-33.966256,Kogarah,New South Wales,No,No
397,St Ives Douglass Hanly Moir Pathology Drive-through Pathology,151.1869446,-33.70593863,St. Ives,New South Wales,Yes,No
398,St Mary's Laverty Pathology Drive-through Clinic,150.7791812,-33.74419804,St Marys,New South Wales,Yes,No
399,St Mary's Medlab Pathology Walk-in Clinic,150.7737742,-33.76385008,St Marys,New South Wales,No,No
400,St Vincent's Hospital (East Sydney Community and Arts Centre),151.216068,-33.878228,Darlinghurst,New South Wales,No,No
401,Stanhope Gardens Drive-through Clinic,150.9230083,-33.71791989,Stanhope Gardens,New South Wales,Yes,No
402,Stanmore 4Cyte Pathology Drive-through Clinic,151.168556,-33.898705,Stanmore,New South Wales,Yes,No
403,Strathfield Medlab Pathology Drive-through and Walk-in Clinic,151.0683017,-33.86951252,Strathfield,New South Wales,Yes,No
404,Strathfield Medlab Pathology Walk-in Clinic,151.093237,-33.87162753,Stathfield,New South Wales,No,No
405,Summer Hill Laverty Drive-through Clinic,151.1313952,-33.890443,Summer Hill,New South Wales,Yes,No
406,Surry Hills Laverty Pathology Walk-in Clinic,151.2141303,-33.88339718,Surry Hills,New South Wales,No,No
407,Sutherland Drive-through Testing Clinic,151.056641,-34.038571,Sutherland,New South Wales,Yes,No
408,Sutherland Hospital,151.1148321,-34.0371135,Caringbah,New South Wales,No,No
409,Sydney (Macquarie Street) 4Cyte Pathology Clinic,151.2120786,-33.86712209,Sydney,New South Wales,No,No
410,Sydney 4Cyte Pathology Walk-in Clinic,151.2036726,-33.88256317,Sydney,New South Wales,No,No
411,Sydney Hospital and Sydney Eye Hospital,151.212728,-33.865648,Sydney,New South Wales,No,No
412,Sydney Olympic Park Clinical Labs Pathology Drive-through Clinic,151.0620415,-33.84954588,Sydney Olympic Park,New South Wales,Yes,No
413,Tahmoor Medlab Pathology Drive-through Clinic,150.591545,-34.226734,Tahmoor,New South Wales,Yes,No
414,Tamworth Douglass Hanly Moir Pathology,150.926182,-31.087141,Tamworth,New South Wales,No,Yes
415,Tamworth Hospital Clinic,150.925593,-31.072952,Tamworth,New South Wales,No,Yes
416,Tamworth Minor League Park Laverty Pathology Drive-through Clinic,150.916117,-31.083338,Tamworth,New South Wales,Yes,No
417,Tamworth Respiratory Clinic,150.9228782,-31.1124398,Tamworth,New South Wales,No,Yes
418,Taree Douglass Hanly Moir Pathology,152.458148,-31.911263,Taree,New South Wales,No,Yes
419,Taree Respiratory Clinic,152.45988,-31.912897,Taree,New South Wales,No,Yes
420,Tea Gardens 4Cyte Pathology Drive-through Clinic,152.1543149,-32.66462283, Tea Gardens,New South Wales,Yes,No
421,Telerah Histopath Pathology Drive-through Clinic,151.5278543,-32.72742911,Telerah,New South Wales,Yes,No
422,Temora Hospital ,147.5433521,-34.44272898,Temora,New South Wales,No,No
423,Tempe Laverty Pathology Drive-through Clinic,151.1671578,-33.9218874,Tempe,New South Wales,Yes,No
424,Tenterfield Sullivan Nicolaides Pathology,152.019515,-29.053048,Tenterfield,New South Wales,No,No
425,The Tweed Hospital testing Clinic,153.545433,-28.177127,Tweed Heads,New South Wales,No,No
426,Thredbo Resort Pop-up Clinic,148.3095128,-36.5012288,Thredbo,New South Wales,No,Yes
427,Tibooburra Drive-through Pop-up Clinic,142.0121653,-29.43293487,Tibooburra,New South Wales,Yes,No
428,Toongabbie Medlab Pathology Walk-in Clinic ,150.9502608,-33.78920766,Toongabbie,New South Wales,No,No
429,Tottenham Multi-purpose Service,147.3498163,-32.24184119,Tottenham,New South Wales,No,No
430,Trangie Multi-purpose Service,147.9769952,-32.03046678,Trangie,New South Wales,No,No
431,Trundle Multi-Purpose Service,147.7051733,-32.92111854,Trundle,New South Wales,No,No
432,Tuggerah Douglass Hanly Moir Pathology Drive-through Clinic,151.423501,-33.312482,Tuggerah,New South Wales,Yes,No
433,Tullamore Multi Purpose Health Service,147.569515,-32.63453032,Tullamore,New South Wales,No,No
434,Tumbi Umbi Douglass Hanly Moir Pathology Drive-through Clinic,151.4393655,-33.3611057,Tumbi Umbi,New South Wales,Yes,No
435,Tumut Respiratory Clinic,148.2098946,-35.2954524,Tumut,New South Wales,No,Yes
436,Tweed Heads QML Pathology Drive-through Pathology,153.5418525,-28.1755989,Tweed Heads,New South Wales,Yes,No
437,Tweed Heads Sullivan Nicolaides Pathology,153.5402624,-28.17875849,Tweed Heads,New South Wales,No,No
438,Ulladulla Respiratory Clinic,150.4743207,-35.359154,Ulladulla,New South Wales,No,Yes
439,University of Newcastle Drive-through Clinic,151.697375,-32.895977,Callaghan ,New South Wales,Yes,No
440,Vineyard 4Cyte Pathology Drive-through and Walk-in Clinic,150.8459666,-33.63331951,Vineyard,New South Wales,Yes,No
441,Wagga Wagga Douglass Hanly Moir Pathology,147.352275,-35.118787,Wagga Wagga,New South Wales,No,Yes
442,Wagga Wagga Drive-through Clinic,147.3921999,-35.12867464,Wagga Wagga,New South Wales,Yes,No
443,Wagga Wagga Laverty Pathology Drive-through Clinic,147.376158,-35.105942,Wagga Wagga,New South Wales,Yes,No
444,Wagga Wagga Respiratory Clinic,147.332643,-35.136424,Glenfield Park,New South Wales,No,Yes
445,Wagga Wagga Testing Clinic,147.3602808,-35.11337856,Wagga Wagga,New South Wales,No,Yes
446,Walgett Mobile Respiratory Clinic,148.1188795,-30.0226256,Walgett,New South Wales,No,Yes
447,Walgett Multi-Purpose Health Service,148.1156133,-30.03084258,Walgett,New South Wales,No,No
448,Wallsend 4Cyte Pathology Drive-through Clinic,151.669261,-32.90248,Wallsend,New South Wales,Yes,Yes
449,Warialda Multi-Purpose Service,150.5794178,-29.53807719,Warialda,New South Wales,No,Yes
450,Warilla Southern.IML Pathology Drive-through Clinic,150.860606,-34.551443,Warilla,New South Wales,Yes,No
451,Warners Bay 4Cyte Pathology Drive-through Clinic,151.658862,-32.965261,Warners Bay,New South Wales,Yes,No
452,Warren Multi-Purpose Service,147.837508,-31.69398128,Warren,New South Wales,No,No
453,Warringah Aquatic Centre Histopath Pathology Drive-through Clinic,151.236439,-33.755252,Frenchs Forest,New South Wales,Yes,No
454,Wauchope Drive-through Pop-Up Clinic,152.7243181,-31.45645462,Wauchope,New South Wales,Yes,No
455,Wauchope Respiratory Clinic,152.7136741,-31.4692323,Wauchope,New South Wales,No,Yes
456,Wee Waa Community Hospital,149.4493594,-30.22531067,Wee Waa,New South Wales,No,Yes
457,Wee Waa Respiratory Clinic,149.457391,-30.216559,Wee Waa,New South Wales,No,Yes
458,Wellington Hospital Pop-up Clinic,148.9527229,-32.5497679,Wellington,New South Wales,No,No
459,Wentworth Showgrounds Drive-through Pop-up Clinic,141.9287849,-34.10055951,Wentworth,New South Wales,Yes,No
460,Wentworthville 4Cyte Pathology Clinic,150.9742702,-33.8087582,Wentworthville,New South Wales,No,No
461,Werrington Histopath Pathology Drive-through Clinic,150.7462493,-33.76158844,Werrington,New South Wales,Yes,No
462,West Ryde MedLab Pathology Drive-through Clinic,151.0878954,-33.8039461,West Ryde,New South Wales,Yes,No
463,West Wyalong Hospital,147.1967518,-33.91644038,West Wyalong,New South Wales,No,No
464,Westmead Hospital,150.988019,-33.804767,Westmead,New South Wales,No,No
465,Westmead Laverty Pathology,150.989016,-33.818727,Westmead,New South Wales,No,No
466,Westmead Medlab Pathology Walk-in Clinic,150.9879247,-33.81067919,Westmead,New South Wales,No,No
467,Wetherill Park 4Cyte Drive-through and Walk-in Clinic,150.9092671,-33.85262774,Wetherill Park,New South Wales,Yes,No
468,White Cliffs Drive-though Pop-up Clinic,143.0887424,-30.8547877,White Cliffs,New South Wales,Yes,No
469,Wichkam Histopath Pathology Drive-through Clinic,151.7628989,-32.92514008,Wichkam,New South Wales,Yes,No
470,Wickham 4Cyte Pathology Drive-through Clinic,151.7552015,-32.91934147,Wickham,New South Wales,Yes,No
471,Wilcannia Drive-though Pop-up clinic,143.3812328,-31.55624695,Wilcannia,New South Wales,Yes,No
472,Willoughby Laverty Pathology Drive-through Clinic,151.2041395,-33.8113719,Willoughby,New South Wales,Yes,No
473,Windale Clinical Labs Pathology Pop-up Clinic,151.6828654,-32.99249513,Windale,New South Wales,No,No
474,Windsor Respiratory Clinic,150.8973083,-33.89613538,Windsor,New South Wales,No,Yes
475,Wollongong 4Cyte Pathology Drive-through Clinic,150.876328,-34.425562,Wollongong,New South Wales,Yes,No
476,Wollongong Hospital,150.88353,-34.42476,Wollongong,New South Wales,No,No
477,Wollongong JJ Kelly Park Southern.IML Pathology Drive-through Clinic,150.8939145,-34.43825872,Wollongong,New South Wales,Yes,No
478,Wollongong Laverty Pathology Drive-through Clinic,150.8956411,-34.43130727,Wollongong ,New South Wales,Yes,No
479,Wollongong Southern.IML Pathology Drive-through Clinic,150.8882892,-34.42487172,Wollongong,New South Wales,Yes,No
480,Woolgoolga Pop-up Clinic,153.1963096,-30.1111884,Woolgoolga,New South Wales,No,No
481,Woolgoolga Sullivan Nicolaides Pathology (Beach Street),153.199844,-30.110111,Woolgoolga,New South Wales,No,No
482,Woolooware Laverty Drive-through Clinic,151.1364884,-34.03907165,Woolooware,New South Wales,Yes,No
483,Woy Woy 4Cyte Pathology Walk-in Clinic,151.3350208,-33.48574958,Woy Woy,New South Wales,No,No
484,Woy Woy Douglass Hanly Moir Pathology,151.324562,-33.488517,Woy Woy,New South Wales,No,No
485,Woy Woy Laverty Pathology Drive-through Clinic,151.3261151,-33.48542608,Woy Woy,New South Wales,Yes,No
486,Wyong Histopath Pathology Drive-through Clinic,151.4274897,-33.2834561,Wyong,New South Wales,Yes,No
487,Wyong Hospital,151.479546,-33.2608533,Hamlyn Terrace,New South Wales,No,No
488,Yagoona MedLab Pathology Walk-in and Drive-through Clinic,151.0235485,-33.90759566,Yagoona,New South Wales,Yes,No
489,Yamba Respiratory Clinic,153.3628534,-29.434701,Yamba,New South Wales,No,Yes
490,Yamba Sullivan Nicolaides Pathology,153.344709,-29.435693,Yamba,New South Wales,No,No
491,Young Laverty Pathology Drive-through Clinic,148.3005393,-34.31549234,Young,New South Wales,Yes,Yes
492,Young Respiratory Clinic,148.3018087,-34.3144817,Young,New South Wales,No,Yes
493,Yass Drive-through Clinic,148.9090074,-34.8519632,Yass,New South Wales,Yes,No
494,Narrandera Hospital,146.548382,-34.74345828,Narrandera,New South Wales,No,Yes
495,Lake Cargelligo Hospital,146.3741025,-33.29184375,Lake Cargelligo,New South Wales,No,Yes
496,Eden Drive-through Clinic,149.9052663,-37.06843704,Edensor Park,New South Wales,Yes,No
497,Minto MedLab Pathology Walk-in,150.8511458,-34.02968878,Minto,New South Wales,No,No
498,Austral Medlab Pathlogy Drive-through Clinic,150.8122893,-33.92976511,Austral,New South Wales,Yes,No
